police_report_number,jurisdiction,incident_summary,reported_offense,loss_amount_usd
PR-RIV-2024-1472,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@riverdalepolice.gov.",Ransomware Hostage,83460
PR-GOT-2024-1473,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@gothampolice.gov.",Corporate Email Compromise,36271
PR-STA-2024-1474,Star City Cyber Crime Unit,[Star City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@star citypolice.gov.,DDoS Attack on School Portal,40861
PR-STA-2024-1475,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,35388
PR-MET-2024-1476,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@metropolispolice.gov.",Ransomware Hostage,22341
PR-MET-2024-1477,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@metropolispolice.gov.,Social Media Account Hijack,1917
PR-GOT-2024-1478,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@gothampolice.gov.",Corporate Email Compromise,66325
PR-RIV-2024-1479,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,35627
PR-CEN-2024-1480,Central City Cyber Crime Unit,"[Central City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@central citypolice.gov.",Corporate Email Compromise,4781
PR-STA-2024-1481,Star City Cyber Crime Unit,"[Star City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@star citypolice.gov.",Corporate Email Compromise,4216
PR-RIV-2024-1482,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,92087
PR-CEN-2024-1483,Central City Cyber Crime Unit,[Central City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@central citypolice.gov.,DDoS Attack on School Portal,81780
PR-GOT-2024-1484,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,6599
PR-STA-2024-1485,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,64781
PR-RIV-2024-1486,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@riverdalepolice.gov.",Corporate Email Compromise,16444
PR-RIV-2024-1487,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@riverdalepolice.gov.,Social Media Account Hijack,83553
PR-STA-2024-1488,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,48116
PR-RIV-2024-1489,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@riverdalepolice.gov.",Identity Theft / Bank Loan,40830
PR-MET-2024-1490,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@metropolispolice.gov.",Ransomware Hostage,94309
PR-RIV-2024-1491,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,48483
PR-CEN-2024-1492,Central City Cyber Crime Unit,[Central City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@central citypolice.gov.,DDoS Attack on School Portal,27693
PR-RIV-2024-1493,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@riverdalepolice.gov.",Ransomware Hostage,94035
PR-GOT-2024-1494,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,23009
PR-MET-2024-1495,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@metropolispolice.gov.",Corporate Email Compromise,5069
PR-RIV-2024-1496,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@riverdalepolice.gov.,DDoS Attack on School Portal,54798
PR-GOT-2024-1497,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,97294
PR-CEN-2024-1498,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,58515
PR-CEN-2024-1499,Central City Cyber Crime Unit,[Central City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@central citypolice.gov.,DDoS Attack on School Portal,38454
